[abbas]					=عباس
[abdulla][abdullah]		=عبدالله
[abid]					=عابد
[adət]					=عادت
[aid]					=عاید
[ailə]					=عائله
[ağıl]					=عقل
[allah]					=الله
[aləm]					=عالم
[alim]					=عالیم
[amil]					=عامل
[amma]					=اما
[azər]					=آذر
[azərbaycan][azerbaycan]			=آذربایجان
[belə]					=بئله
[bəhs]					=بحث
[bələmi]				=بلعمی
[bəzi][bə'zi]			=بعضی
[böhran]				=بحران
[camaət]				=جماعت
[cəfər]					=جعفر
[cəhənnəm]				=جهنم
[cəm]					=جمع
[cəmiyyət]				=جمعیت
[cərrahı][cərrahi]		=جراحی
[cidd]					=جد
[cümlə]					=جمله
[cüzi]					=جزعی
[dədə]					=دده
[dəfə]					=دفعه
[dərəcə]				=درجه
[dəvət]					=دعوت
[diqqət]				=دقت
[dr]					=دؤکتور
[dua]					=دعا
[edam]					=اعدام
[ehtikar][ihtikar]		=احتکار
[ehtiyac]				=احتیاج
[ehtiyat]				=احتیاط
[elan]					=اعلان
[elm]					=علم
[eşq]					=عشق
[etibar][e'tibar]		=اعتبار
[etibarən][e'tibarən]	=اعتباراً
[etiraf][e'tiraf]		=اعتراف
[etiraz][e'tiraz]		=اعتراض
[eyni]					=عینی
[əcaba][əcəba]			=عجبا
[ədalət]				=عدالت
[ədliyyə]				=عدلیه
[əfzəl]					=افضل
[əhməd]					=احمد
[əks]					=عکس
[əksər]					=اکثر
[əksəriyyət]			=اکثریت
[əlaqə]					=علاقه
[əlavə]					=علاوه
[əlbəttə]				=البته
[əli]					=علی
[əlil]					=علیل
[əməl]					=عمل
[əməliyyat]				=عملیات
[əmi]					=عمی
[əmmə]					=عمه
[ənənə]					=عنعنه
[ərazi][ərazı]				=اراضی
[ərdəbili]					=اردبیلی
[ərəb]					=عرب
[ərsə]					=عرصه
[ərz]					=عرض
[əsasən]					=اساساً
[əsər]					=اثر
[əsil]					=اصیل
[əsgər]					=عسگر
[əsl]					=اصل
[əsr]					=عصر
[ətraf]					=اطراف
[əvvəl]					=اول
[əzan]					=اذان
[əzəmət]					=عظمت
[əziyyət]					=اذیت
[əziz]					=عزیز
[faciə]					=فاجعه
[fatimə]					=فاطمه
[fatimiyyə]				=فاطمیه
[fəqət]					=فقط
[fərəh]					=فرح
[fərz]					=فرض
[fətəli]					=فتحعلی
[fəth]					=فتح
[fəyyaz]					=فیاض
[fəzilət]					=فضیلت
[fəzlan]					=فضلان
[fitrət]					=فطرت
[fitrətən]					=فطرتاً
[fransiz]					=فرانسه
[füzuli][fuzuli]				=فضولی
[gedən]					=گئدن
[gələn]					=گلن
[güzəşt]					=گذشت
[hadisə]					=حادثه
[hakim]					=حاکم
[hakimiyyət]				=حاکمیت
[hal]					=حال
[haqq][haq]				=حاق
[haram]					=حرام
[hazır]					=حاضر
[hekayə][hekayət][hikayə][hikayət]		=حکایه
[hesab]					=حساب
[heydər]					=حیدر
[heykəl]					=هیکل
[heyrət]					=حیرت
[heyvan]					=حیوان
[heysiyyat][heysiyyət]			=حیثیت
[heyvan]					=حیوان
[həd][hədd]				=حد
[hələ]					=هله
[hələb]					=حلب
[həqiqət]					=حقیقت
[həqiqi]					=حقیقی
[hərb]					=حرب
[hərəkat]					=حرکات
[hərəkət]					=حرکت
[həsb]					=حسب
[həsən]					=حسن
[hətta]					=حتی
[həyat]					=حیات
[hicab]					=حجاب
[himayə]					=حمایه
[himmət]					=همت
[hissə]					=حیسه
[hiyləgər]				=حیله‌گر
[hökm]					=حؤکم
[hökümət][hukumət][hükumət][hökumət]	=حکومت
[hörmət]					=حؤرمت
[hüdud]					=حدود
[hükm]					=حکم
[hüquq][huquq]				=حقوق
[hüseyn]					=حسین
[hüzur]					=حضور
[xalis][xalıs]				=خالص
[xarakter]				=کاراکتئر
[xatir]					=خاطر
[xatirə]					=خاطره
[xilas]					=خلاص
[xülasə][xulasə]				=خلاصه
[xürrəm]					=خرم
[xüsusi][xususi]				=خصوصی
[xüsusiyyət][xususiyyət]			=خصوصیت
[i]					=ی
[ibadət]					=عبادت
[ibarət]					=عبارت
[ibn]					=ابن
[iddia][iddəa]				=ادعا
[ictimai]					=اجتماعی
[ixlas]					=اخلاص
[iltisaqı][iltisaqi]				=التصاقی
[imran]					=عمران
[imza]					=ایمضا
[inhisar]					=انحصار
[iqtidar]					=اقتدار
[iqtisad]					=اقتصاد
[irs]					=ارث
[irticai]					=ارتجاعی
[isbat]					=اثبات
[isfahan]					=اصفهان
[islah]					=اصلاح
[islahat]					=اصلاحات
[islam]					=ایسلام
[istirahət]				=استراحت
[istisna]					=استثنا
[itaət]					=اطاعت
[ittifaq]					=اتفاق
[ittihaf][ithaf]				=اتحاف
[ittiham]					=اتهام
[izzət]					=عزت
[java]					=جاوا
[kamal]					=کمال
[köməy]					=کمک
[lətafət]					=لطافت
[lizzət][ləzzət]				=لذت
[lütfən]					=لطفاً
[maddi]					=مادی
[mahal][məhəl]				=محل
[mahmıd][məhmud]			=محمود
[mane]					=مانع
[maviyə]					=معاویه
[meydan]				=میدان
[məbud][mə'bud]				=معبود
[məhdud]				=محدود
[məhdudiyyət]				=محدودیت
[məhəllə]					=محله
[məhkəmə]				=محکمه
[məhkum]				=محکوم
[məhrəm]				=محرم
[məhsul]					=محصول
[məhz]					=محض
[məxsus]					=مخصوص
[məlum][mə'lum]				=معلوم
[məlumat][mə'lumat]			=معلومات
[məna]					=معنا
[mənafe]					=منافع
[mənbə][mənbə']				=منبع
[mənşə][mənşə']				=منشأ
[məntəqə]				=منطقه
[məqsəd]				=مقصد
[mərhələ]				=مرحله
[məsələ]					=مسئله
[məsləhət]				=مصلحت
[məsud]					=مسعود
[məsul]					=مسئول
[məzhəb]				=مذهب
[microsoft]				=مایکروسافت
[milli]					=میللی
[misal]					=مثال
[misir]					=مصر
[mosul]					=موصول
[möcüzə]					=معجزه
[mömin][mömün][mö'min]			=مؤمن
[mötəbər][mö'təbər]			=معتبر
[muasir][müasir]				=معاصر
[mudafiə][müdafiə]			=مدافعه
[muhamməd][mohamməd][məhəmməd]	=محمد
[muraciət][müraciət]			=مراجعت
[mustafa]				=مصطفی
[müddət]					=مدت
[müəllif]					=مؤلف
[müəllim][mü'əllim]			=معلم
[müəzzin]				=مؤذن
[mühafizə]				=محافظه
[müharibə][muharibə]			=محاربه
[mühasirə]				=محاصره
[mühəqqiq]				=محقق
[müqavimət][muqavimət]			=مقاومت
[müqəddəs]				=مقدس
[müsəlla]					=مصلی
[mütəxəssis]				=متخصص
[müttəhid]				=متحد
[müvəffəqiyyət]				=موفقیت
[naxalis]					=ناخالص
[naməhrəm]				=نامحرم
[naqis]					=ناقص
[nasir]					=ناصر
[nazir]					=ناظر
[nefrin]					=نفرین
[nemət]					=نعمت
[nədən]					=ندن
[nəzarət]					=نظارت
[nəzər]					=نظر
[nəzəriyyə]				=نظریه
[nəzr]					=نذر
[nicat]					=نجات
[nizami]					=نظامی
[nöqsan]					=نقصان
[nöqtə]					=نقطه
[numayəndə][nümayəndə]			=نماینده
[nüfuz][nufuz]				=نفوذ
[osmanlı]					=عثمانلی
[ömər]					=عمر
[peyğəmbər]				=پیغمبر
[qazı][qazi]				=قاضی
[qənaət]					=قناعت
[qərəz]					=غرض
[qəsd]					=قصد
[qəsdən]					=قصداً
[qəsəbə]					=قصبه
[qəti]					=قطعی
[qəzavət]					=قضاوت
[qövm]					=قوم
[qüvvə][quvvə]				=قوه
[qüvvət][quvvət]				=قوت
[rabitə]					=رابطه
[rahat]					=راحت
[razı]					=راضی
[respoblika]				=رئسپوبلیکا
[reyhan]					=ریحان
[rədd]					=رد
[rəhim]					=رحیم
[rəhm]					=رحم
[rəiyyət]					=رعیت
[riyaziyyat]				=ریاضیات
[riza][rıza][rza]				=رضا
[rizayət]					=رضایت
[ruh]					=روح
[ruhani]					=روحانی
[ruhaniyyət]				=روحانیت
[saat]					=ساعت
[sabit]					=ثابت
[sadiq]					=صادق
[sadir]					=صادر
[sahə]					=ساحه
[sahib]					=صاحب
[sahil]					=ساحل
[salam]					=سلام
[salih][saleh]			=صالح
[seyid]					=سید
[səbr]					=صبر
[səfəvi]				=صفوی
[səhifə]				=صحیفه
[səltənət]				=سلطنت
[səmimi]				=صمیمی
[sənduq]				=صندوق
[sərf]					=صرف
[sərhəd]				=سرحد
[sətir]					=سطر
[sifir][sıfır][sıfir]	=صیفیر
[silah]					=سلاح
[sinif][sınıf]			=صینیف
[sirf][sırf]			=صرف
[söhbət]				=صحبت
[sufi]					=صوفی
[sultan][sültan]		=سلطان
[surət]					=صورت
[sürət][sür'ət]			=سرعت
[sübut]					=ثبوت
[şair]					=شاعر
[şer][şe'r]				=شعر
[şeytan]				=شیطان
[şərayit][şərayet][şərait]			=شرایط
[şərh]					=شرح
[şəri]					=شرعی
[şəriət]				=شریعت
[şərt]					=شرط
[şəxs]					=شخص
[şəxsən]				=شخصاً
[şəxsiyyət]				=شخصیت
[şiddət]				=شدت
[şiə][şi'ə]				=شیعه
[şücaət][şüca'ət]		=شجاعت
[şüur]					=شعور
[tabe]					=تابع
[talib]					=طالب
[tayfa]					=طایفه
[texnik]				=تئکنیک
[təala]					=تعالی
[təbəqə]				=طبقه
[təbiət]				=طبیعت
[təbii]					=طبیعی
[təbir][tə'bir]			=تعبیر
[təəcüb][təəccüb]		=تعجب
[təəssüf]				=تأسف
[təharət]				=طهارت
[təhlil]				=تحلیل
[təhmil]				=تحمیل
[təhqiq]				=تحقیق
[təhqiqat]				=تحقیقات
[təhqir]				=تحقیر
[təhrif]				=تحریف
[təhsil]				=تحصیل
[təxəllüf]				=تخلف
[təxəllüs]				=تخلص
[tələb]					=طلب
[tələbə]				=طلبه
[təmin][tə'min]			=تعمین
[təqib]					=تعقیب
[təqribən]				=تقریباً
[təravət]				=طراوت
[tərəf]					=طرف
[tərif][tə'rif]			=تعریف
[tərz]					=طرز
[təsadüf]				=تصادف
[təsbit]				=تثبیت
[təsir][tə'sir]			=تأثیر
[təsvir]				=تصویر
[tətbiq]				=تطبیق
[təyin][tə'yin]			=تعیین
[təzahür]				=تظاهر
[təzyiq]				=تضییق
[tövbə]					=توبه
[tövsiyə]				=توصیه
[ümumiyyət]				=عمومیت
[üsul][usul]			=اصول
[üsyan]					=عصیان
[üzv]					=عضو
[vasitə]				=واسطه
[və][ve][&]				=و
[vəhid]					=وحید
[vəhşi]					=وحشی
[vətən]					=وطن
[vəzifə]				=وظیفه
[vəziyyət]				=وضعیت
[yəni][yə'ni][yanı]		=یعنی
[zabit]					=ظابط
[zahir]					=ظاهر
[zalim][zalım]			=ظالم
[zat]					=ذات
[zatən]					=ذاتاً
[zəhmət]				=زحمت
[zəif]					=ضعیف
[zəfər]					=ظفر
[zərurət]				=صرورت
[zidd]					=ضد
[ziddiyət][ziddiyyət]	=ضدیت
[zikr]					=ذکر
[zillət]				=ذلت
[ziya]					=ضیا
[ziyan]					=زیان
[zühur][zuhur]			=ظهور
[zülm]					=ظلم
[salam]					=سلام
[isa]					=عیسی
[bağlı]					=باغلی
[fəaliyyət]				=فعالیت
[təminat]				=تأمینات
[üzr]					=عذر
[qəzəb]					=غضب
[sənət]					=صنعت
[mətbuat]				=مطبوعات
[hərf]					=حرف
[həsr]					=حصر
[sədr]					=صدر
[həddad]				=حداد
[adil]					=عادیل
[müştərək]				=مشترک
[əlamət]				=علامت
[sərvət]				=ثروت
[narahat]				=ناراحات
[mahmud]				=محمود
[hafiz]					=حافیظ
[misra]					=میصراع
[vədə]					=وعده
[səhər]					=سحر
[kağız]					=کاغیذ
